id_venda,data,ano,mês,dia,id_cliente,customer_segment,regiao,estado,produto_categoria,produto_nome,canal_venda,quantidade,preco_unitario,pct_desconto,gross_revenue,discount_value,net_revenue,cost,profit,margin_pct,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
40,2023-01-19 00:00:00,2023,Janeiro,19,1201,Pequenas Empresas,Sul,RS,Eletrônicos,Monitor Ultrawide,Loja Física,5,"R$ 576,85",12%,"R$ 2.884,25","R$ 339,26","R$ 2.545,00","R$ 1.489,10","R$ 1.055,90","41,49",,,,,,,
41,2023-01-19 00:00:00,2023,Janeiro,19,1632,Consumidor Final,Centro-Oeste,GO,Eletrônicos,Cadeira Gamer,Loja Física,2,"R$ 346,85",3%,"R$ 693,70","R$ 20,48","R$ 673,22","R$ 435,77","R$ 237,45","35,27",,,,,,,
42,2023-01-20 00:00:00,2023,Janeiro,20,1954,Corporativo,Sul,RS,Eletrônicos,Teclado Mecânico,E-commerce,43,"R$ 1.579,07",2%,"R$ 67.900,19","R$ 1.662,89","R$ 66.237,30","R$ 38.844,28","R$ 27.393,02","41,36",,,,,,,
43,2023-01-20 00:00:00,2023,Janeiro,20,1596,Pequenas Empresas,Sudeste,RJ,Eletrônicos,Cadeira Gamer,E-commerce,10,"R$ 520,54",5%,"R$ 5.205,41","R$ 248,10","R$ 4.957,31","R$ 2.752,27","R$ 2.205,04","44,48",,,,,,,
44,2023-01-20 00:00:00,2023,Janeiro,20,1669,Pequenas Empresas,Sudeste,SP,Móveis,Mesa Gamer,Loja Física,3,"R$ 806,69",4%,"R$ 2.420,07","R$ 103,41","R$ 2.316,66","R$ 1.265,12","R$ 1.051,53","45,39",,,,,,,
45,2023-01-21 00:00:00,2023,Janeiro,21,1777,Consumidor Final,Sul,SC,Eletrônicos,Headset Gamer,Loja Física,2,"R$ 323,15",11%,"R$ 646,30","R$ 68,82","R$ 577,48","R$ 348,78","R$ 228,70","39,60",,,,,,,
46,2023-01-21 00:00:00,2023,Janeiro,21,1613,Corporativo,Sul,RS,Móveis,Mesa Gamer,Loja Física,17,"R$ 3.067,03",9%,"R$ 52.139,51","R$ 4.775,37","R$ 47.364,14","R$ 27.334,46","R$ 20.029,68","42,29",,,,,,,
47,2023-01-21 00:00:00,2023,Janeiro,21,1514,Pequenas Empresas,Sul,SC,Eletrônicos,Mouse Gamer,Loja Física,4,"R$ 721,20",10%,"R$ 2.884,78","R$ 282,73","R$ 2.602,05","R$ 1.607,44","R$ 994,61","38,22",,,,,,,
48,2023-01-21 00:00:00,2023,Janeiro,21,1418,Consumidor Final,Sudeste,MG,Móveis,Mesa Gamer,Loja Física,1,"R$ 334,80",3%,"R$ 334,80","R$ 10,27","R$ 324,52","R$ 181,30","R$ 143,22","44,13",,,,,,,
49,2023-01-22 00:00:00,2023,Janeiro,22,1350,Consumidor Final,Sul,RS,Eletrônicos,Mouse Gamer,E-commerce,3,"R$ 404,41",10%,"R$ 1.213,24","R$ 124,23","R$ 1.089,01","R$ 631,67","R$ 457,34","42,00",,,,,,,
50,2023-01-22 00:00:00,2023,Janeiro,22,1908,Pequenas Empresas,Nordeste,CE,Móveis,Mesa Gamer,Loja Física,2,"R$ 1.166,46",5%,"R$ 2.332,92","R$ 117,75","R$ 2.215,17","R$ 1.617,92","R$ 597,24","26,96",,,,,,,
51,2023-01-22 00:00:00,2023,Janeiro,22,1774,Pequenas Empresas,Sul,RS,Eletrônicos,Webcam 4K,Loja Física,5,"R$ 1.101,32",12%,"R$ 5.506,60","R$ 658,57","R$ 4.848,03","R$ 2.947,13","R$ 1.900,91","39,21",,,,,,,
52,2023-01-23 00:00:00,2023,Janeiro,23,1025,Corporativo,Sul,PR,Eletrônicos,Mouse Gamer,E-commerce,32,"R$ 3.238,25",8%,"R$ 103.624,01","R$ 7.796,14","R$ 95.827,87","R$ 58.120,41","R$ 37.707,46","39,35",,,,,,,
53,2023-01-23 00:00:00,2023,Janeiro,23,1790,Consumidor Final,Centro-Oeste,GO,Eletrônicos,Teclado Mecânico,E-commerce,4,"R$ 150,97",8%,"R$ 603,86","R$ 47,19","R$ 556,67","R$ 366,66","R$ 190,01","34,13",,,,,,,
54,2023-01-23 00:00:00,2023,Janeiro,23,1983,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Cadeira Gamer,Loja Física,5,"R$ 721,86",11%,"R$ 3.609,31","R$ 383,20","R$ 3.226,11","R$ 2.095,02","R$ 1.131,10","35,06",,,,,,,
55,2023-01-23 00:00:00,2023,Janeiro,23,1872,Corporativo,Nordeste,BA,Eletrônicos,Microfone Condensador,Loja Física,13,"R$ 2.533,96",7%,"R$ 32.941,52","R$ 2.363,99","R$ 30.577,52","R$ 21.904,53","R$ 8.673,00","28,36",,,,,,,
56,2023-01-24 00:00:00,2023,Janeiro,24,1880,Corporativo,Nordeste,BA,Eletrônicos,Cadeira Gamer,E-commerce,20,"R$ 2.578,55",8%,"R$ 51.570,97","R$ 3.931,57","R$ 47.639,41","R$ 35.664,00","R$ 11.975,40","25,14",,,,,,,
57,2023-01-25 00:00:00,2023,Janeiro,25,1469,Corporativo,Sudeste,RJ,Eletrônicos,Monitor Ultrawide,Loja Física,17,"R$ 1.542,70",9%,"R$ 26.225,89","R$ 2.268,43","R$ 23.957,46","R$ 12.823,10","R$ 11.134,36","46,48",,,,,,,
58,2023-01-25 00:00:00,2023,Janeiro,25,1689,Pequenas Empresas,Sul,PR,Eletrônicos,Cadeira Gamer,E-commerce,14,"R$ 1.030,89",7%,"R$ 14.432,49","R$ 965,53","R$ 13.466,96","R$ 8.128,50","R$ 5.338,46","39,64",,,,,,,
59,2023-01-26 00:00:00,2023,Janeiro,26,1087,Corporativo,Nordeste,CE,Eletrônicos,Headset Gamer,E-commerce,38,"R$ 2.198,24",2%,"R$ 83.533,29","R$ 1.649,45","R$ 81.883,84","R$ 60.329,01","R$ 21.554,83","26,32",,,,,,,
60,2023-01-27 00:00:00,2023,Janeiro,27,1725,Consumidor Final,Sul,SC,Eletrônicos,Webcam 4K,E-commerce,4,"R$ 379,98",9%,"R$ 1.519,91","R$ 137,85","R$ 1.382,05","R$ 845,86","R$ 536,19","38,80",,,,,,,
61,2023-01-27 00:00:00,2023,Janeiro,27,1475,Consumidor Final,Sul,PR,Móveis,Mesa Gamer,E-commerce,2,"R$ 340,85",10%,"R$ 681,71","R$ 65,73","R$ 615,98","R$ 383,69","R$ 232,28","37,71",,,,,,,
62,2023-01-28 00:00:00,2023,Janeiro,28,1852,Consumidor Final,Centro-Oeste,GO,Eletrônicos,Monitor Ultrawide,Loja Física,1,"R$ 374,17",9%,"R$ 374,17","R$ 34,20","R$ 339,97","R$ 211,79","R$ 128,17","37,70",,,,,,,
63,2023-01-28 00:00:00,2023,Janeiro,28,1306,Consumidor Final,Sudeste,RJ,Eletrônicos,Headset Gamer,E-commerce,1,"R$ 443,89",3%,"R$ 443,89","R$ 12,51","R$ 431,38","R$ 232,08","R$ 199,31","46,20",,,,,,,
64,2023-01-29 00:00:00,2023,Janeiro,29,1769,Pequenas Empresas,Sul,PR,Eletrônicos,Headset Gamer,E-commerce,14,"R$ 618,46",7%,"R$ 8.658,39","R$ 580,01","R$ 8.078,38","R$ 4.944,59","R$ 3.133,79","38,79",,,,,,,
65,2023-01-30 00:00:00,2023,Janeiro,30,1434,Consumidor Final,Nordeste,BA,Eletrônicos,Mouse Gamer,E-commerce,3,"R$ 405,82",3%,"R$ 1.217,46","R$ 42,38","R$ 1.175,08","R$ 854,73","R$ 320,34","27,26",,,,,,,
66,2023-01-31 00:00:00,2023,Janeiro,31,1979,Pequenas Empresas,Sudeste,SP,Eletrônicos,Cadeira Gamer,E-commerce,10,"R$ 1.042,11",6%,"R$ 10.421,15","R$ 629,44","R$ 9.791,70","R$ 5.395,44","R$ 4.396,26","44,90",,,,,,,
67,2023-01-31 00:00:00,2023,Janeiro,31,1665,Pequenas Empresas,Sudeste,RJ,Eletrônicos,Teclado Mecânico,E-commerce,9,"R$ 439,87",11%,"R$ 3.958,86","R$ 433,22","R$ 3.525,64","R$ 1.852,50","R$ 1.673,14","47,46",,,,,,,
68,2023-01-31 00:00:00,2023,Janeiro,31,1253,Consumidor Final,Sul,SC,Eletrônicos,Microfone Condensador,E-commerce,3,"R$ 167,18",3%,"R$ 501,55","R$ 17,44","R$ 484,11","R$ 301,17","R$ 182,94","37,79",,,,,,,
69,2023-02-01 00:00:00,2023,Fevereiro,1,1692,Corporativo,Centro-Oeste,GO,Eletrônicos,Teclado Mecânico,Loja Física,10,"R$ 1.230,83",4%,"R$ 12.308,26","R$ 505,89","R$ 11.802,37","R$ 7.994,03","R$ 3.808,34","32,27",,,,,,,
70,2023-02-02 00:00:00,2023,Fevereiro,2,1074,Corporativo,Nordeste,PE,Eletrônicos,Monitor Ultrawide,Loja Física,10,"R$ 1.768,05",11%,"R$ 17.680,51","R$ 1.939,34","R$ 15.741,17","R$ 11.570,19","R$ 4.170,98","26,50",,,,,,,
71,2023-02-02 00:00:00,2023,Fevereiro,2,1911,Consumidor Final,Sudeste,MG,Eletrônicos,Webcam 4K,Loja Física,1,"R$ 278,67",10%,"R$ 278,67","R$ 28,68","R$ 249,98","R$ 140,97","R$ 109,02","43,61",,,,,,,
72,2023-02-02 00:00:00,2023,Fevereiro,2,1260,Consumidor Final,Sudeste,MG,Eletrônicos,Teclado Mecânico,Loja Física,1,"R$ 168,80",11%,"R$ 168,80","R$ 18,52","R$ 150,28","R$ 85,91","R$ 64,37","42,84",,,,,,,
73,2023-02-03 00:00:00,2023,Fevereiro,3,1375,Consumidor Final,Nordeste,CE,Móveis,Mesa Gamer,E-commerce,1,"R$ 381,56",2%,"R$ 381,56","R$ 7,44","R$ 374,11","R$ 275,27","R$ 98,84","26,42",,,,,,,
74,2023-02-04 00:00:00,2023,Fevereiro,4,1312,Consumidor Final,Sudeste,SP,Eletrônicos,Teclado Mecânico,E-commerce,4,"R$ 439,02",7%,"R$ 1.756,07","R$ 125,77","R$ 1.630,31","R$ 853,94","R$ 776,37","47,62",,,,,,,
75,2023-02-04 00:00:00,2023,Fevereiro,4,1441,Consumidor Final,Sudeste,MG,Eletrônicos,Monitor Ultrawide,Loja Física,1,"R$ 369,25",12%,"R$ 369,25","R$ 43,55","R$ 325,70","R$ 183,89","R$ 141,81","43,54",,,,,,,
76,2023-02-05 00:00:00,2023,Fevereiro,5,1213,Corporativo,Nordeste,BA,Eletrônicos,Microfone Condensador,E-commerce,26,"R$ 2.500,26",6%,"R$ 65.006,75","R$ 3.967,53","R$ 61.039,22","R$ 42.219,59","R$ 18.819,63","30,83",,,,,,,
77,2023-02-06 00:00:00,2023,Fevereiro,6,1294,Consumidor Final,Nordeste,CE,Eletrônicos,Teclado Mecânico,E-commerce,1,"R$ 204,90",1%,"R$ 204,90","R$ 2,55","R$ 202,36","R$ 143,03","R$ 59,33","29,32",,,,,,,
78,2023-02-06 00:00:00,2023,Fevereiro,6,1292,Corporativo,Nordeste,PE,Móveis,Mesa Gamer,E-commerce,27,"R$ 2.772,63",7%,"R$ 74.861,13","R$ 5.237,41","R$ 69.623,72","R$ 48.121,76","R$ 21.501,97","30,88",,,,,,,
79,2023-02-08 00:00:00,2023,Fevereiro,8,1831,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Mouse Gamer,E-commerce,9,"R$ 978,25",2%,"R$ 8.804,26","R$ 153,58","R$ 8.650,69","R$ 5.515,07","R$ 3.135,61","36,25",,,,,,,
80,2023-02-10 00:00:00,2023,Fevereiro,10,1647,Pequenas Empresas,Sul,SC,Eletrônicos,Webcam 4K,E-commerce,14,"R$ 580,92",10%,"R$ 8.132,85","R$ 838,99","R$ 7.293,85","R$ 4.407,55","R$ 2.886,31","39,57",,,,,,,
81,2023-02-12 00:00:00,2023,Fevereiro,12,1800,Consumidor Final,Nordeste,BA,Eletrônicos,Monitor Ultrawide,Loja Física,1,"R$ 404,99",8%,"R$ 404,99","R$ 33,85","R$ 371,14","R$ 268,06","R$ 103,08","27,77",,,,,,,
82,2023-02-14 00:00:00,2023,Fevereiro,14,1802,Pequenas Empresas,Sudeste,RJ,Eletrônicos,Mouse Gamer,Loja Física,5,"R$ 999,43",4%,"R$ 4.997,13","R$ 209,70","R$ 4.787,43","R$ 2.550,66","R$ 2.236,78","46,72",,,,,,,
83,2023-02-14 00:00:00,2023,Fevereiro,14,1257,Consumidor Final,Sudeste,MG,Eletrônicos,Mouse Gamer,Loja Física,1,"R$ 287,77",2%,"R$ 287,77","R$ 4,52","R$ 283,25","R$ 150,92","R$ 132,33","46,72",,,,,,,
84,2023-02-17 00:00:00,2023,Fevereiro,17,1981,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Mouse Gamer,E-commerce,11,"R$ 531,77",5%,"R$ 5.849,42","R$ 270,97","R$ 5.578,45","R$ 3.540,06","R$ 2.038,39","36,54",,,,,,,
85,2023-02-17 00:00:00,2023,Fevereiro,17,1365,Pequenas Empresas,Sul,PR,Eletrônicos,Headset Gamer,Loja Física,6,"R$ 927,70",3%,"R$ 5.566,22","R$ 154,62","R$ 5.411,60","R$ 3.326,35","R$ 2.085,25","38,53",,,,,,,
86,2023-02-18 00:00:00,2023,Fevereiro,18,1398,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Webcam 4K,E-commerce,8,"R$ 1.000,58",7%,"R$ 8.004,67","R$ 571,36","R$ 7.433,31","R$ 4.808,23","R$ 2.625,08","35,32",,,,,,,
87,2023-02-19 00:00:00,2023,Fevereiro,19,1212,Corporativo,Centro-Oeste,GO,Eletrônicos,Microfone Condensador,E-commerce,18,"R$ 3.291,21",7%,"R$ 59.241,72","R$ 4.102,92","R$ 55.138,80","R$ 35.847,46","R$ 19.291,34","34,99",,,,,,,
88,2023-02-19 00:00:00,2023,Fevereiro,19,1632,Corporativo,Centro-Oeste,GO,Eletrônicos,Cadeira Gamer,Loja Física,18,"R$ 1.414,84",6%,"R$ 25.467,09","R$ 1.490,28","R$ 23.976,81","R$ 16.022,82","R$ 7.953,98","33,17",,,,,,,
89,2023-02-20 00:00:00,2023,Fevereiro,20,1479,Pequenas Empresas,Centro-Oeste,GO,Eletrônicos,Webcam 4K,E-commerce,9,"R$ 1.034,28",7%,"R$ 9.308,55","R$ 684,51","R$ 8.624,04","R$ 5.535,99","R$ 3.088,05","35,81",,,,,,,
90,2023-02-21 00:00:00,2023,Fevereiro,21,1914,Corporativo,Sul,SC,Eletrônicos,Headset Gamer,Loja Física,21,"R$ 1.650,43",11%,"R$ 34.659,11","R$ 3.766,25","R$ 30.892,87","R$ 18.498,30","R$ 12.394,57","40,12",,,,,,,
91,2023-02-21 00:00:00,2023,Fevereiro,21,1532,Pequenas Empresas,Nordeste,BA,Eletrônicos,Cadeira Gamer,E-commerce,13,"R$ 1.034,61",4%,"R$ 13.449,92","R$ 603,15","R$ 12.846,77","R$ 8.974,36","R$ 3.872,41","30,14",,,,,,,
92,2023-02-21 00:00:00,2023,Fevereiro,21,1684,Corporativo,Sul,SC,Eletrônicos,Webcam 4K,Loja Física,25,"R$ 1.588,36",7%,"R$ 39.709,12","R$ 2.611,89","R$ 37.097,23","R$ 22.039,95","R$ 15.057,27","40,59",,,,,,,
93,2023-02-22 00:00:00,2023,Fevereiro,22,1547,Consumidor Final,Sudeste,RJ,Eletrônicos,Mouse Gamer,Loja Física,1,"R$ 369,79",10%,"R$ 369,79","R$ 37,07","R$ 332,72","R$ 186,73","R$ 146,00","43,88",,,,,,,
94,2023-02-24 00:00:00,2023,Fevereiro,24,1791,Pequenas Empresas,Sudeste,MG,Eletrônicos,Monitor Ultrawide,Loja Física,7,"R$ 466,77",11%,"R$ 3.267,40","R$ 349,83","R$ 2.917,57","R$ 1.551,52","R$ 1.366,05","46,82",,,,,,,
95,2023-02-25 00:00:00,2023,Fevereiro,25,1391,Corporativo,Nordeste,CE,Eletrônicos,Cadeira Gamer,E-commerce,41,"R$ 3.473,36",6%,"R$ 142.407,63","R$ 9.027,15","R$ 133.380,48","R$ 99.055,54","R$ 34.324,94","25,73",,,,,,,
96,2023-02-25 00:00:00,2023,Fevereiro,25,1381,Corporativo,Centro-Oeste,GO,Móveis,Mesa Gamer,E-commerce,21,"R$ 1.581,70",11%,"R$ 33.215,62","R$ 3.554,47","R$ 29.661,15","R$ 19.408,79","R$ 10.252,36","34,56",,,,,,,
